fips,fy,oblig,oblig_pc,oblig_pos,oblig_pos_pc,pop
20173,2009,5743998676.924191,11603.89707786207,5792811706.805322,11702.508064155429,495006
36077,2009,476680909.9922228,7653.836062816679,480978054.5655209,7722.833246074517,62280
42109,2009,271018742.61334777,6852.559863801461,271028047.84645915,6852.795141503392,39550
36113,2009,509121565.496691,7749.8944423644625,509830933.74211687,7760.692509850472,65694
29009,2009,272449696.3605919,7644.492041542982,272573620.893451,7647.969160871239,35640
47093,2009,3045576404.9166913,7091.393922618759,3067481361.0826917,7142.397953507635,429475
46035,2009,137591502.70825422,7100.76393189112,137802352.87164164,7111.645397721094,19377
08085,2009,269985696.48383737,6500.197339203982,270415874.04758805,6510.554328821188,41535
23023,2009,1322622965.4268138,37186.80140092821,1346670898.852176,37862.93189901245,35567
47105,2009,583371808.075513,12168.790322810033,583404970.3091646,12169.482067358462,47940
18117,2009,131321089.07080048,6588.785764427298,131339330.64681855,6589.701000793665,19931
20031,2009,449380258.6541906,52460.922093648216,449588654.05789715,52485.25029861045,8566
20035,2009,341373280.77447253,9431.503820264472,344506012.37048626,9518.055321742955,36195
21105,2009,37487890.4153932,7580.96873920995,37493804.88238491,7582.164789157717,4945
38059,2009,333314009.1943604,12325.334067757289,333390120.1964064,12328.148511496744,27043
31053,2009,378350294.82539266,10336.310097950844,378487003.0875246,10340.044888195951,36604
39071,2009,354140772.927258,8126.595367553766,354198040.1742783,8127.909499616281,43578
20023,2009,89187736.49929383,32514.668793034572,89187736.49929383,32514.668793034572,2743
39031,2009,470725345.7015466,12764.394644545437,470756596.9555604,12765.242067236846,36878
40115,2009,389085923.6185233,12203.55435870286,389317875.41578156,12210.82945192678,31883
12081,2009,8373243574.856171,26108.376622118263,8451849524.720975,26353.475636074145,320711
13081,2009,199355835.0590964,8527.497436012336,199355835.0590964,8527.497436012336,23378
27141,2009,229729370.59096786,2614.1257463696843,229792838.69970176,2614.8479597144033,87880
41031,2009,156907469.07101217,7220.776303313952,157164361.52490997,7232.598321440864,21730
30047,2009,245463467.75276515,8562.280862033109,253181063.41137105,8831.486794034152,28668
36071,2009,2736727368.4943156,7355.232003134592,2756162128.0159163,7407.464887875737,372079
31141,2009,199782065.7213702,6239.87462040073,199783074.35366198,6239.906123423868,32017
53035,2009,2412694399.7702007,9697.324757918814,2438876869.1580224,9802.559763496874,248800
37047,2009,521870549.71042943,8972.552132978517,522001836.25597167,8974.80935054883,58163
